,Li2O,TiO2,ZrO2,SrO,Na2O,ZnO,Nb2O5,Nb2O3,Al2O3,Sb2O3,Y2O3,B2O3,BaO,La2O3,SiO2,K2O,CaO,PbO,ABBENUM
0,0.0,0.0,0.0,0.0,10.04,0.0,0.0,0.0,0.0,0.0,0.0,16.92,0.0,0.0,73.03,0.0,0.0,0.0,65.6
1,0.0,0.0,0.0,0.0,8.99,0.0,0.0,0.0,0.0,0.0,0.0,16.83,0.0,0.0,72.65,1.52,0.0,0.0,66.2
2,0.0,0.0,0.0,0.0,6.92,0.0,0.0,0.0,0.0,0.0,0.0,16.66,0.0,0.0,71.91,4.51,0.0,0.0,66.52
3,0.0,0.0,0.0,0.0,5.9,0.0,0.0,0.0,0.0,0.0,0.0,16.58,0.0,0.0,71.54000000000002,5.98,0.0,0.0,66.65
4,0.0,0.0,0.0,0.0,4.89,0.0,0.0,0.0,0.0,0.0,0.0,16.49,0.0,0.0,71.17,7.44,0.0,0.0,66.7
5,0.0,0.0,0.0,0.0,3.89,0.0,0.0,0.0,0.0,0.0,0.0,16.41,0.0,0.0,70.81,8.88,0.0,0.0,66.59
6,0.0,0.0,0.0,0.0,2.91,0.0,0.0,0.0,0.0,0.0,0.0,16.33,0.0,0.0,70.46,10.31,0.0,0.0,66.85
7,0.0,0.0,0.0,0.0,0.96,0.0,0.0,0.0,0.0,0.0,0.0,16.16,0.0,0.0,69.75,13.12,0.0,0.0,67.22
8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.08,0.0,0.0,69.41,14.51,0.0,0.0,67.23
9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.69,0.0,0.0,0.0,0.0,0.0,50.31,40.0
10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.86,0.0,0.0,0.0,0.0,0.0,60.14,36.01
11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.87,0.0,0.0,0.0,0.0,0.0,68.12,31.84
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.26,0.0,0.0,0.0,0.0,0.0,74.73999999999998,27.2
13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.68,0.0,0.0,0.0,0.0,0.0,80.31999999999998,21.7
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.46,0.0,0.0,82.54,20.7
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.22,0.0,0.0,84.78,16.04
19,0.0,0.0,0.0,0.0,4.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.48,0.0,0.0,60.19,30.2
20,0.0,0.0,0.0,0.0,4.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.39,0.0,0.0,68.82,24.79
21,0.0,0.0,0.0,0.0,6.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.05,0.0,0.0,55.21,31.4
22,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.19,0.0,0.0,54.61,31.4
23,0.0,0.0,0.0,0.0,7.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.29,0.0,0.0,61.52,27.84
24,0.0,0.0,0.0,0.0,8.279999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.06,0.0,0.0,59.65,28.13
25,0.0,0.0,0.0,0.0,10.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.89,0.0,0.0,47.52,33.3
26,0.0,0.0,0.0,0.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.9,0.0,0.0,56.45,29.6
27,0.0,0.0,0.0,0.0,12.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.73,0.0,0.0,43.9,34.5
28,0.0,0.0,0.0,0.0,13.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.57,0.0,0.0,42.16,35.6
29,0.0,0.0,0.0,0.0,11.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.23,0.0,0.0,54.15,29.5
30,0.0,0.0,0.0,0.0,14.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.18,0.0,0.0,40.18,36.7
31,0.0,0.0,0.0,0.0,13.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.76,0.0,0.0,47.68,32.1
32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.45999999999998,21.54,0.0,0.0,62.1
33,0.0,0.0,0.0,37.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.28,13.58,0.0,0.0,57.1
34,0.0,0.0,0.0,31.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54.08,14.83,0.0,0.0,58.4
35,0.0,0.0,0.0,22.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.86,16.69,0.0,0.0,59.9
36,0.0,0.0,0.0,14.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.09,18.46,0.0,0.0,60.7
37,0.0,0.0,0.0,6.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.03,20.0,0.0,0.0,61.3
38,0.0,0.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.76,16.24,0.0,0.0,55.4
39,0.0,0.0,0.0,35.82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.9,17.27,0.0,0.0,56.1
40,0.0,0.0,0.0,26.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.78,19.86,0.0,0.0,57.7
41,0.0,0.0,0.0,17.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.46,22.3,0.0,0.0,58.9
42,0.0,0.0,0.0,8.449999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.86,24.69,0.0,0.0,59.9
43,0.0,0.0,0.0,35.49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43.17,21.34,0.0,0.0,55.3
44,0.0,0.0,0.0,30.47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.53,23.0,0.0,0.0,56.1
45,0.0,0.0,0.0,25.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.93,24.7,0.0,0.0,57.0
46,0.0,0.0,0.0,15.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75,28.0,0.0,0.0,58.6
47,0.0,0.0,0.0,15.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.54999999999998,7.67,0.0,0.0,62.8
48,0.0,0.0,0.0,13.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.14,9.840000000000002,0.0,0.0,62.5
49,0.0,0.0,0.0,21.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.24,10.4,0.0,0.0,61.0
50,0.0,0.0,0.0,9.62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.90999999999998,12.47,0.0,0.0,62.3
51,0.0,0.0,0.0,27.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59.92,13.02,0.0,0.0,59.2
52,0.0,0.0,0.0,11.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.37,15.18,0.0,0.0,61.4
53,0.0,0.0,0.0,5.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.65999999999998,16.65,0.0,0.0,62.1
54,0.0,0.0,0.0,7.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.26,20.63,0.0,0.0,61.1
55,0.0,0.0,0.0,23.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.63,29.84,0.0,0.0,55.8
56,0.0,0.0,0.0,12.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.63,34.28,0.0,0.0,57.3
57,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,0.0,0.0,0.0,59.29
58,0.0,0.0,0.0,0.0,19.4,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,77.59999999999998,0.0,0.0,0.0,59.29
59,0.0,0.0,0.0,0.0,18.8,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,75.2,0.0,0.0,0.0,54.82
60,0.0,0.0,0.0,0.0,18.2,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,72.79999999999998,0.0,0.0,0.0,52.76
61,0.0,0.0,0.0,0.0,17.6,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,70.40000000000002,0.0,0.0,0.0,50.99
62,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,68.0,0.0,0.0,0.0,49.04
63,0.0,0.0,0.0,0.0,16.4,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,65.6,0.0,0.0,0.0,47.48
64,0.0,0.0,0.0,0.0,15.8,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,63.2,0.0,0.0,0.0,45.82
65,0.0,0.0,0.0,0.0,15.2,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,60.8,0.0,0.0,0.0,44.67
66,0.0,0.0,0.0,0.0,14.6,0.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0,0.0,58.4,0.0,0.0,0.0,43.11
67,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,56.0,0.0,0.0,0.0,41.67
68,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,34.47
69,0.0,6.51,0.0,0.0,15.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78.34,0.0,0.0,0.0,51.5
70,0.0,6.5,0.0,0.0,20.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.33,0.0,0.0,0.0,50.4
71,0.0,6.49,0.0,0.0,25.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68.34,0.0,0.0,0.0,49.7
72,0.0,12.83,0.0,0.0,9.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.20999999999998,0.0,0.0,0.0,43.5
73,0.0,12.81,0.0,0.0,14.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.28,0.0,0.0,0.0,43.8
74,0.0,12.79,0.0,0.0,19.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.36,0.0,0.0,0.0,43.7
75,0.0,12.77,0.0,0.0,24.77,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.45,0.0,0.0,0.0,43.5
76,0.0,12.75,0.0,0.0,29.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.56,0.0,0.0,0.0,43.2
77,0.0,12.73,0.0,0.0,34.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.68,0.0,0.0,0.0,42.6
78,0.0,18.94,0.0,0.0,9.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.25,0.0,0.0,0.0,36.4
79,0.0,18.92,0.0,0.0,14.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.41,0.0,0.0,0.0,37.8
80,0.0,18.89,0.0,0.0,19.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.57,0.0,0.0,0.0,38.2
81,0.0,18.86,0.0,0.0,24.39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.75,0.0,0.0,0.0,38.5
82,0.0,18.83,0.0,0.0,29.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.94,0.0,0.0,0.0,38.6
83,0.0,18.8,0.0,0.0,34.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.15,0.0,0.0,0.0,38.2
84,0.0,18.78,0.0,0.0,38.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.37,0.0,0.0,0.0,37.1
85,0.0,21.25,0.0,0.0,22.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56.43,0.0,0.0,0.0,36.4
86,0.0,24.87,0.0,0.0,9.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65.48,0.0,0.0,0.0,31.4
87,0.0,24.83,0.0,0.0,14.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.71,0.0,0.0,0.0,32.7
88,0.0,24.8,0.0,0.0,19.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.96,0.0,0.0,0.0,33.5
89,0.0,24.76,0.0,0.0,24.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.22,0.0,0.0,0.0,34.1
90,0.0,24.72,0.0,0.0,28.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46.5,0.0,0.0,0.0,34.5
91,0.0,24.69,0.0,0.0,33.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.79,0.0,0.0,0.0,34.2
92,0.0,24.65,0.0,0.0,38.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.09,0.0,0.0,0.0,33.3
93,0.0,30.57,0.0,0.0,14.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55.19,0.0,0.0,0.0,29.0
94,0.0,30.53,0.0,0.0,18.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.52,0.0,0.0,0.0,29.7
95,0.0,30.48,0.0,0.0,23.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.86,0.0,0.0,0.0,30.6
96,0.0,30.44,0.0,0.0,28.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.22,0.0,0.0,0.0,30.9
97,0.0,30.4,0.0,0.0,33.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.58,0.0,0.0,0.0,30.8
98,0.0,36.14,0.0,0.0,14.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.84,0.0,0.0,0.0,26.0
99,0.0,36.09,0.0,0.0,18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45.24,0.0,0.0,0.0,26.7
100,0.0,36.04,0.0,0.0,23.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.66,0.0,0.0,0.0,27.6
101,0.0,35.98,0.0,0.0,27.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.09,0.0,0.0,0.0,28.1
102,0.0,35.93,0.0,0.0,32.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.54,0.0,0.0,0.0,28.2
103,0.0,41.43,0.0,0.0,22.96,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.61,0.0,0.0,0.0,25.1
104,0.0,41.37,0.0,0.0,27.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.12,0.0,0.0,0.0,25.7
105,0.0,41.31,0.0,0.0,32.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.64,0.0,0.0,0.0,26.0
106,0.0,0.0,0.0,0.0,0.0,11.35,0.0,0.0,0.0,0.0,0.0,0.0,61.11,0.0,27.54,0.0,0.0,0.0,49.7
107,0.0,0.0,0.0,0.0,0.0,5.14,0.0,0.0,0.0,0.0,0.0,0.0,58.14,0.0,36.71,0.0,0.0,0.0,53.8
108,0.0,0.0,0.0,0.0,0.0,8.5,0.0,0.0,0.0,0.0,0.0,0.0,57.63,0.0,33.87,0.0,0.0,0.0,52.1
109,0.0,0.0,0.0,0.0,0.0,11.79,0.0,0.0,0.0,0.0,0.0,0.0,57.12,0.0,31.09,0.0,0.0,0.0,50.8
110,0.0,0.0,0.0,0.0,0.0,15.03,0.0,0.0,0.0,0.0,0.0,0.0,56.62,0.0,28.35,0.0,0.0,0.0,49.6
111,0.0,0.0,0.0,0.0,0.0,8.66,0.0,0.0,0.0,0.0,0.0,0.0,55.51,0.0,35.83,0.0,0.0,0.0,52.8
112,0.0,0.0,0.0,0.0,0.0,12.02,0.0,0.0,0.0,0.0,0.0,0.0,55.01,0.0,32.97,0.0,0.0,0.0,51.7
113,0.0,0.0,0.0,0.0,0.0,13.68,0.0,0.0,0.0,0.0,0.0,0.0,54.76,0.0,31.56,0.0,0.0,0.0,51.1
114,0.0,0.0,0.0,0.0,0.0,15.32,0.0,0.0,0.0,0.0,0.0,0.0,54.52,0.0,30.16,0.0,0.0,0.0,50.3
115,0.0,0.0,0.0,0.0,0.0,16.95,0.0,0.0,0.0,0.0,0.0,0.0,54.27,0.0,28.78,0.0,0.0,0.0,50.0
116,0.0,0.0,0.0,0.0,0.0,2.67,0.0,0.0,0.0,0.0,0.0,0.0,55.3,0.0,42.03,0.0,0.0,0.0,55.5
117,0.0,0.0,0.0,0.0,0.0,13.95,0.0,0.0,0.0,0.0,0.0,0.0,52.57,0.0,33.48,0.0,0.0,0.0,51.4
118,0.0,0.0,0.0,0.0,0.0,15.62,0.0,0.0,0.0,0.0,0.0,0.0,52.33,0.0,32.04,0.0,0.0,0.0,50.9
119,0.0,0.0,0.0,0.0,0.0,5.47,0.0,0.0,0.0,0.0,0.0,0.0,51.49,0.0,43.05,0.0,0.0,0.0,55.3
120,0.0,0.0,0.0,0.0,0.0,7.25,0.0,0.0,0.0,0.0,0.0,0.0,51.24,0.0,41.5,0.0,0.0,0.0,54.6
121,0.0,0.0,0.0,0.0,0.0,9.02,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,39.97,0.0,0.0,0.0,54.0
122,0.0,0.0,0.0,0.0,0.0,10.78,0.0,0.0,0.0,0.0,0.0,0.0,50.76,0.0,38.46,0.0,0.0,0.0,53.5
123,0.0,0.0,0.0,0.0,0.0,12.51,0.0,0.0,0.0,0.0,0.0,0.0,50.52,0.0,36.96,0.0,0.0,0.0,52.7
124,0.0,0.0,0.0,0.0,0.0,14.24,0.0,0.0,0.0,0.0,0.0,0.0,50.29,0.0,35.47,0.0,0.0,0.0,52.0
125,0.0,0.0,0.0,0.0,0.0,15.94,0.0,0.0,0.0,0.0,0.0,0.0,50.05,0.0,34.0,0.0,0.0,0.0,51.5
126,0.0,0.0,0.0,0.0,0.0,17.63,0.0,0.0,0.0,0.0,0.0,0.0,49.82,0.0,32.54,0.0,0.0,0.0,50.8
127,0.0,0.0,0.0,0.0,0.0,9.21,0.0,0.0,0.0,0.0,0.0,0.0,48.61,0.0,42.18,0.0,0.0,0.0,54.6
128,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,48.37,0.0,40.62,0.0,0.0,0.0,53.9
129,0.0,0.0,0.0,0.0,0.0,12.78,0.0,0.0,0.0,0.0,0.0,0.0,48.14,0.0,39.08,0.0,0.0,0.0,52.8
130,0.0,0.0,0.0,0.0,0.0,14.53,0.0,0.0,0.0,0.0,0.0,0.0,47.91,0.0,37.55,0.0,0.0,0.0,52.6
131,0.0,0.0,0.0,0.0,0.0,17.989999999999995,0.0,0.0,0.0,0.0,0.0,0.0,47.46,0.0,34.54,0.0,0.0,0.0,51.4
132,0.0,0.0,0.0,0.0,0.0,21.39,0.0,0.0,0.0,0.0,0.0,0.0,47.02,0.0,31.59,0.0,0.0,0.0,50.0
133,0.0,0.0,0.0,0.0,0.0,23.07,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,30.13,0.0,0.0,0.0,49.2
134,0.0,0.0,0.0,0.0,0.0,3.82,0.0,0.0,0.0,0.0,0.0,0.0,46.8,0.0,49.38,0.0,0.0,0.0,56.6
135,0.0,0.0,0.0,0.0,0.0,5.7,0.0,0.0,0.0,0.0,0.0,0.0,46.57,0.0,47.73,0.0,0.0,0.0,56.0
136,0.0,0.0,0.0,0.0,0.0,7.57,0.0,0.0,0.0,0.0,0.0,0.0,46.33,0.0,46.1,0.0,0.0,0.0,55.5
137,0.0,0.0,0.0,0.0,0.0,9.41,0.0,0.0,0.0,0.0,0.0,0.0,46.11,0.0,44.48,0.0,0.0,0.0,55.2
138,0.0,0.0,0.0,0.0,0.0,11.24,0.0,0.0,0.0,0.0,0.0,0.0,45.88,0.0,42.88,0.0,0.0,0.0,54.5
139,0.0,0.0,0.0,0.0,0.0,13.05,0.0,0.0,0.0,0.0,0.0,0.0,45.66,0.0,41.29,0.0,0.0,0.0,53.6
140,0.0,0.0,0.0,0.0,0.0,14.84,0.0,0.0,0.0,0.0,0.0,0.0,45.44,0.0,39.72,0.0,0.0,0.0,53.0
141,0.0,0.0,0.0,0.0,0.0,16.62,0.0,0.0,0.0,0.0,0.0,0.0,45.22,0.0,38.17,0.0,0.0,0.0,52.5
142,0.0,0.0,0.0,0.0,0.0,18.37,0.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,36.63,0.0,0.0,0.0,51.7
143,0.0,0.0,0.0,0.0,0.0,21.84,0.0,0.0,0.0,0.0,0.0,0.0,44.57,0.0,33.59,0.0,0.0,0.0,50.4
144,0.0,0.0,0.0,0.0,0.0,25.24,0.0,0.0,0.0,0.0,0.0,0.0,44.15,0.0,30.61,0.0,0.0,0.0,49.1
145,0.0,0.0,0.0,0.0,0.0,5.83,0.0,0.0,0.0,0.0,0.0,0.0,43.94,0.0,50.23,0.0,0.0,0.0,56.6
146,0.0,0.0,0.0,0.0,0.0,9.62,0.0,0.0,0.0,0.0,0.0,0.0,43.5,0.0,46.88,0.0,0.0,0.0,55.5
147,0.0,0.0,0.0,0.0,0.0,13.33,0.0,0.0,0.0,0.0,0.0,0.0,43.06,0.0,43.6,0.0,0.0,0.0,54.2
148,0.0,0.0,0.0,0.0,0.0,20.96,0.0,0.0,0.0,0.0,0.0,0.0,49.37,0.0,29.67,0.0,0.0,0.0,49.6
149,0.0,0.0,0.0,0.0,0.0,1.88,0.0,0.0,0.0,0.0,0.0,0.0,49.56,0.0,48.56,0.0,0.0,0.0,56.8
150,0.0,0.0,0.0,0.0,0.0,7.41,0.0,0.0,0.0,0.0,0.0,0.0,48.84,0.0,43.75,0.0,0.0,0.0,52.2
151,0.0,0.0,0.0,0.0,0.0,22.3,0.0,0.0,0.0,0.0,0.0,0.0,42.02,0.0,35.68,0.0,0.0,0.0,51.0
152,0.0,0.0,0.0,0.0,0.0,24.04,0.0,0.0,0.0,0.0,0.0,0.0,41.81,0.0,34.14,0.0,0.0,0.0,49.9
153,0.0,0.0,0.0,0.0,0.0,13.94,0.0,0.0,0.0,0.0,0.0,0.0,37.52,0.0,48.53,0.0,0.0,0.0,54.9
154,0.0,0.0,0.0,0.0,0.0,19.61,0.0,0.0,0.0,0.0,0.0,0.0,36.95,0.0,43.44,0.0,0.0,0.0,53.0
155,0.0,0.0,0.0,0.0,0.0,21.46,0.0,0.0,0.0,0.0,0.0,0.0,36.76,0.0,41.78,0.0,0.0,0.0,53.2
156,0.0,0.0,0.0,0.0,0.0,26.9,0.0,0.0,0.0,0.0,0.0,0.0,36.2,0.0,36.89,0.0,0.0,0.0,50.7
157,0.0,0.0,0.0,0.0,0.0,28.68,0.0,0.0,0.0,0.0,0.0,0.0,36.02000000000001,0.0,35.29,0.0,0.0,0.0,50.0
158,0.0,0.0,0.0,0.0,0.0,29.32,0.0,0.0,0.0,0.0,0.0,0.0,33.15,0.0,37.53,0.0,0.0,0.0,50.2
159,0.0,0.0,0.0,0.0,0.0,32.9,0.0,0.0,0.0,0.0,0.0,0.0,32.81,0.0,34.29,0.0,0.0,0.0,48.9
160,0.0,0.0,0.0,0.0,0.0,24.38,0.0,0.0,0.0,0.0,0.0,0.0,30.62,0.0,45.0,0.0,0.0,0.0,52.7
161,0.0,0.0,0.0,0.0,0.0,33.81,0.0,0.0,0.0,0.0,0.0,0.0,21.24,0.0,44.94,0.0,0.0,0.0,50.5
162,0.0,0.0,0.0,0.0,0.0,33.64,0.0,0.0,0.0,0.0,0.0,0.0,29.83,0.0,36.53,0.0,0.0,0.0,49.5
163,0.0,0.0,0.0,0.0,0.0,16.97,0.0,0.0,0.0,0.0,0.0,0.0,42.64,0.0,40.38,0.0,0.0,0.0,53.0
164,0.0,0.0,0.0,0.0,0.0,18.77,0.0,0.0,0.0,0.0,0.0,0.0,42.43,0.0,38.8,0.0,0.0,0.0,52.0
165,0.0,0.0,0.0,0.0,0.0,20.54,0.0,0.0,0.0,0.0,0.0,0.0,42.22,0.0,37.23,0.0,0.0,0.0,51.5
166,0.0,0.0,0.0,0.0,0.0,34.42,0.0,0.0,0.0,0.0,0.0,0.0,26.7,0.0,38.87,0.0,0.0,0.0,49.9
167,0.0,0.0,0.0,0.0,0.0,38.07,0.0,0.0,0.0,0.0,0.0,0.0,26.42,0.0,35.5,0.0,0.0,0.0,48.5
168,0.0,0.0,0.0,0.0,0.0,39.86,0.0,0.0,0.0,0.0,0.0,0.0,26.29,0.0,33.85,0.0,0.0,0.0,48.0
169,0.0,0.0,0.0,0.0,0.0,33.35,0.0,0.0,0.0,0.0,0.0,0.0,23.56,0.0,43.09,0.0,0.0,0.0,51.3
170,0.0,0.0,0.0,0.0,0.0,35.24,0.0,0.0,0.0,0.0,0.0,0.0,23.43,0.0,41.32,0.0,0.0,0.0,50.4
171,0.0,0.0,0.0,0.0,0.0,38.96,0.0,0.0,0.0,0.0,0.0,0.0,23.18,0.0,37.85,0.0,0.0,0.0,49.2
172,0.0,0.0,0.0,0.0,0.0,40.8,0.0,0.0,0.0,0.0,0.0,0.0,23.06,0.0,36.14,0.0,0.0,0.0,48.4
173,0.0,0.0,0.0,0.0,0.0,38.01,0.0,0.0,0.0,0.0,0.0,0.0,19.89,0.0,42.1,0.0,0.0,0.0,50.1
174,0.0,0.0,0.0,0.0,0.0,39.9,0.0,0.0,0.0,0.0,0.0,0.0,19.78,0.0,40.31,0.0,0.0,0.0,49.4
175,0.0,0.0,0.0,0.0,0.0,43.62,0.0,0.0,0.0,0.0,0.0,0.0,19.57,0.0,36.81,0.0,0.0,0.0,48.4
176,0.0,0.0,0.0,0.0,0.0,44.69,0.0,0.0,0.0,0.0,0.0,0.0,16.03,0.0,39.28,0.0,0.0,0.0,48.7
177,0.0,0.0,0.0,0.0,0.0,45.8,0.0,0.0,0.0,0.0,0.0,0.0,12.33,0.0,41.87,0.0,0.0,0.0,49.0
178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63.36,30.91,0.0,5.73,0.0,0.0,0.0,62.7
179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.73,36.68,0.0,5.58,0.0,0.0,0.0,63.2
